5	2
5	1
5	19
7	4
7	17
7	11
7	18
7	19
8	3
8	17
8	1
8	18
8	19
12	2
12	1
12	22
12	1
12	19
13	7
13	9
13	1
13	22
13	17
13	1
13	12
13	1
13	15
13	1
13	18
13	15
13	10
13	19
15	4
15	17
15	1
15	20
15	11
15	18
15	19
15	4
15	17
15	1
15	18
15	19
15	5
15	17
15	11
15	18
15	19
16	5
16	17
16	18
16	19
18	4
18	17
18	11
18	18
18	19
19	4
19	17
19	11
19	20
19	1
19	20
19	11
19	18
19	19
20	5
20	17
20	21
20	1
20	17
20	1
20	18
20	20
20	11
20	18
20	19
21	5
21	17
21	18
21	19
23	5
23	17
23	11
23	20
23	1
23	13
23	21
23	1
23	17
23	1
23	18
23	20
23	11
23	18
23	19
